Metric		Current
TOTAL_NUMBER_OF_FILES		8,219
NUMBER_OF_FILES_MAIN		51
LINES_OF_CODE_MAIN		2,818
NUMBER_OF_FILES_MAIN_EXT_JSX		32
LINES_OF_CODE_MAIN_EXT_JSX		1,549
NUMBER_OF_FILES_MAIN_EXT_CSS		16
LINES_OF_CODE_MAIN_EXT_CSS		1,219
NUMBER_OF_FILES_MAIN_EXT_JS		2
LINES_OF_CODE_MAIN_EXT_JS		37
NUMBER_OF_FILES_MAIN_EXT_HTML		1
LINES_OF_CODE_MAIN_EXT_HTML		13
NUMBER_OF_FILES_TEST		0
LINES_OF_CODE_TEST		0
TEST_VS_MAIN_LINES_OF_CODE_PERCENTAGE		0
NUMBER_OF_FILES_GENERATED		2
LINES_OF_CODE_GENERATED		3,127
NUMBER_OF_FILES_GENERATED_EXT_JSON		2
LINES_OF_CODE_GENERATED_EXT_JSON		3,127
NUMBER_OF_FILES_BUILD_AND_DEPLOYMENT		0
LINES_OF_CODE_BUILD_AND_DEPLOYMENT		0
NUMBER_OF_FILES_OTHER		7
LINES_OF_CODE_OTHER		3,245
NUMBER_OF_FILES_OTHER_EXT_JSON		6
LINES_OF_CODE_OTHER_EXT_JSON		3,238
NUMBER_OF_FILES_OTHER_EXT_MD		1
LINES_OF_CODE_OTHER_EXT_MD		7
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE		51
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE		2,818
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_JSX		32
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_JSX		1,549
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_CSS		16
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_CSS		1,219
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_JS		2
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_JS		37
NUMBER_OF_FILES_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_HTML		1
LINES_OF_CODE_DECOMPOSITION_PRIMARY_CALYPSO_WEBSITE_EXT_HTML		13
NUMBER_OF_DEPENDENCY_LINKS_DECOMPOSITION_PRIMARY		0
NUMBER_OF_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_PLACES_WITH_CYCLIC_DEPENDENCIES_DECOMPOSITION_PRIMARY		0
NUMBER_OF_FILES_CONCERN_GENERAL_TODOS		0
LINES_OF_CODE_CONCERN_GENERAL_TODOS		0
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED		51
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED		2,818
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		32
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JSX		1,549
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		16
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_CSS		1,219
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		2
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_JS		37
NUMBER_OF_FILES_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		1
LINES_OF_CODE_CONCERN_GENERAL_UNCLASSIFIED_EXT_HTML		13
NEGLIGIBLE_RISK_FILE_SIZE_COUNT		45
LOW_RISK_FILE_SIZE_COUNT		3
MEDIUM_RISK_FILE_SIZE_COUNT		3
HIGH_RISK_FILE_SIZE_COUNT		0
VERY_HIGH_RISK_FILE_SIZE_COUNT		0
NEGLIGIBLE_RISK_FILE_SIZE_LOC		1,506
LOW_RISK_FILE_SIZE_LOC		332
MEDIUM_RISK_FILE_SIZE_LOC		980
HIGH_RISK_FILE_SIZE_LOC		0
VERY_HIGH_RISK_FILE_SIZE_LOC		0
NUMBER_OF_UNITS		1
LINES_OF_CODE_IN_UNITS		3
LINES_OF_CODE_OUTSIDE_UNITS		2,815
UNIT_SIZE_NEGLIGIBLE_RISK_LOC		3
